ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13210666,JG424096,09/14/2023 03:16:00 PM,011XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1231,12,28.0,28.0,08A,1165901.0,1895191.0,2023,09/22/2023 03:42:13 PM,41.867989472,-87.666417011,"(41.867989472, -87.666417011)"
13238844,JG458109,10/10/2023 08:30:00 AM,056XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,824,8,15.0,63.0,08B,1160666.0,1867216.0,2023,10/18/2023 03:42:30 PM,41.791332865,-87.686409062,"(41.791332865, -87.686409062)"
13257002,JG479981,10/26/2023 06:15:00 PM,004XX N WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1834,18,42.0,8.0,07,1176659.0,1903440.0,2023,11/03/2023 03:41:45 PM,41.890389063,-87.626673392,"(41.890389063, -87.626673392)"
13281020,JG508653,11/12/2023 02:15:00 AM,016XX N CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1421,14,26.0,24.0,14,1157452.0,1910805.0,2023,11/20/2023 03:41:07 PM,41.911011656,-87.697009828,"(41.911011656, -87.697009828)"
13292876,JG522770,11/30/2023 07:28:00 AM,034XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1121,11,27.0,23.0,18,1153117.0,1905117.0,2023,12/08/2023 03:41:35 PM,41.895490399,-87.713086271,"(41.895490399, -87.713086271)"
13309731,JG542381,12/14/2023 06:00:00 PM,008XX W EASTWOOD AVE,0460,BATTERY,SIMPLE,DAY CARE CENTER,False,False,1914,19,46.0,3.0,08B,1169806.0,1931096.0,2023,12/22/2023 03:41:15 PM,41.966430564,-87.651032417,"(41.966430564, -87.651032417)"
1559580,G316196,05/31/2001 12:30:00 PM,005XX E 33 ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2122,2,,,05,,,2001,08/17/2015 03:03:40 PM,,,
1379698,G089171,02/13/2001 12:20:00 AM,013XX E 75 ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,411,4,,,14,1186356.0,1855494.0,2001,08/17/2015 03:03:40 PM,41.758597591,-87.592580177,"(41.758597591, -87.592580177)"
1472023,G201589,04/09/2001 12:46:00 PM,039XX W AUGUSTA BL,0460,BATTERY,SIMPLE,RESIDENCE,False,False,1112,11,,,08B,1149987.0,1906427.0,2001,08/17/2015 03:03:40 PM,41.899146689,-87.724547962,"(41.899146689, -87.724547962)"
24605,JC309467,06/16/2019 11:57:00 PM,078XX S LUELLA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,414,4,7.0,43.0,01A,1192563.0,1853319.0,2019,09/19/2022 03:41:05 PM,41.752480297,-87.56990311,"(41.752480297, -87.56990311)"
1405327,G117210,02/28/2001 11:10:12 AM,029XX W WASHINGTON BL,0450,BATTERY,AGGRAVATED PO: HANDGUN,"SCHOOL, PUBLIC, BUILDING",True,False,1331,12,,,04B,1156925.0,1900584.0,2001,08/17/2015 03:03:40 PM,41.882975032,-87.699223369,"(41.882975032, -87.699223369)"
1332002,G028168,01/13/2001 09:51:43 PM,026XX N RIDGEWAY AV,0460,BATTERY,SIMPLE,RESIDENCE,False,True,2524,25,,,08B,1150899.0,1917202.0,2001,08/17/2015 03:03:40 PM,41.92869648,-87.720915591,"(41.92869648, -87.720915591)"
1378115,G089396,02/10/2001 09:00:00 AM,133XX S BALTIMORE AV,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",PARKING LOT/GARAGE(NON.RESID.),False,False,433,4,,,07,1199140.0,1817277.0,2001,08/17/2015 03:03:40 PM,41.653415081,-87.547007669,"(41.653415081, -87.547007669)"
1429437,G150396,03/16/2001 10:50:00 AM,072XX S PRINCETON AV,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,731,7,,,04B,1175505.0,1857017.0,2001,08/17/2015 03:03:40 PM,41.763026397,-87.632302516,"(41.763026397, -87.632302516)"
1314385,G005518,01/03/2001 10:30:00 AM,001XX N FRANKLIN ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,False,False,111,1,,,06,1174257.0,1901576.0,2001,08/17/2015 03:03:40 PM,41.885328082,-87.635550239,"(41.885328082, -87.635550239)"
1338114,G035367,01/07/2001 08:45:00 AM,071XX S MOZART ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,831,8,,,26,1158646.0,1857190.0,2001,08/17/2015 03:03:40 PM,41.763861553,-87.694089315,"(41.763861553, -87.694089315)"
1438146,G163876,03/12/2001 10:00:00 PM,016XX S CANAL ST,0810,THEFT,OVER $500,CONSTRUCTION SITE,False,False,1233,12,,,06,1173429.0,1892325.0,2001,08/17/2015 03:03:40 PM,41.85996115,-87.638865627,"(41.85996115, -87.638865627)"
3644,HM421044,06/18/2006 01:33:00 AM,037XX W FULLERTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2524,25,35.0,22.0,01A,1150891.0,1915692.0,2006,09/19/2022 03:41:05 PM,41.924553066,-87.720984615,"(41.924553066, -87.720984615)"
1336472,G012749,01/06/2001 07:30:00 PM,064XX N GLENWOOD AV,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,True,False,2432,24,,,18,1165736.0,1942733.0,2001,08/17/2015 03:03:40 PM,41.998450805,-87.665663536,"(41.998450805, -87.665663536)"
1336352,G033295,01/16/2001 01:35:53 PM,105XX S EDBROOKE AV,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,512,5,,,04B,1179176.0,1835246.0,2001,08/17/2015 03:03:40 PM,41.703201217,-87.619509521,"(41.703201217, -87.619509521)"
1380919,G076682,02/06/2001 05:52:17 PM,048XX N WINTHROP AV,2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,STREET,True,False,2024,20,,,26,1168043.0,1932203.0,2001,08/17/2015 03:03:40 PM,41.96950655,-87.657482531,"(41.96950655, -87.657482531)"
1454428,G185605,04/01/2001 03:00:00 AM,016XX W BELMONT AV,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,HOTEL/MOTEL,False,False,1924,19,,,04B,1164724.0,1921346.0,2001,08/17/2015 03:03:40 PM,41.939785643,-87.669995494,"(41.939785643, -87.669995494)"
1372904,G079982,02/08/2001 09:25:00 AM,059XX S KARLOV AV,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,False,False,813,8,,,03,1150088.0,1864986.0,2001,08/17/2015 03:03:40 PM,41.785425279,-87.725254655,"(41.785425279, -87.725254655)"
1519157,G253958,05/03/2001 04:45:11 PM,003XX S CALIFORNIA AV,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1124,11,,,18,1157731.0,1898339.0,2001,08/17/2015 03:03:40 PM,41.876798156,-87.696324879,"(41.876798156, -87.696324879)"
1653926,G440283,07/26/2001 05:38:53 PM,075XX S COTTAGE GROVE AV,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,624,6,,,06,1182837.0,1854825.0,2001,08/17/2015 03:03:40 PM,41.756844212,-87.605497648,"(41.756844212, -87.605497648)"
1541563,G294511,05/22/2001 01:15:00 AM,058XX W SUPERIOR ST,0460,BATTERY,SIMPLE,STREET,False,True,1511,15,,,08B,1137209.0,1904364.0,2001,08/17/2015 03:03:40 PM,41.893724785,-87.771531477,"(41.893724785, -87.771531477)"
1531479,G281759,04/03/2001 04:26:00 PM,058XX S CICERO AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,AIRPORT/AIRCRAFT,True,False,813,8,,,07,1145545.0,1865787.0,2001,08/17/2015 03:03:40 PM,41.787710314,-87.741891416,"(41.787710314, -87.741891416)"
1488758,G228057,04/21/2001 09:46:21 PM,003XX E 120 PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,532,5,,,14,1180141.0,1825076.0,2001,08/17/2015 03:03:40 PM,41.67527129,-87.616285916,"(41.67527129, -87.616285916)"
1561317,G316674,06/01/2001 01:29:38 PM,018XX S DAMEN AV,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,1223,12,,,26,1163281.0,1891390.0,2001,08/17/2015 03:03:40 PM,41.857614627,-87.676142323,"(41.857614627, -87.676142323)"
1507492,G252124,05/02/2001 12:00:00 PM,093XX S LUELLA AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,413,4,,,14,1192843.0,1843518.0,2001,08/17/2015 03:03:40 PM,41.72557866,-87.569195955,"(41.72557866, -87.569195955)"
1534512,G285524,05/17/2001 10:20:00 PM,085XX S MUSKEGON AV,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,423,4,,,08A,1196682.0,1848573.0,2001,08/17/2015 03:03:40 PM,41.739355624,-87.554966358,"(41.739355624, -87.554966358)"
1618362,G394953,07/06/2001 08:17:40 PM,076XX N SHERIDAN RD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2422,24,,,05,1165480.0,1950905.0,2001,08/17/2015 03:03:40 PM,42.020880389,-87.666371062,"(42.020880389, -87.666371062)"
1487356,G226041,04/20/2001 11:45:00 PM,063XX N GLENWOOD AV,0820,THEFT,$500 AND UNDER,SIDEWALK,True,False,2433,24,,,06,1165768.0,1942601.0,2001,08/17/2015 03:03:40 PM,41.998087909,-87.665549606,"(41.998087909, -87.665549606)"
1616455,G392886,07/05/2001 06:00:00 AM,005XX W DEMING PL,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1933,19,,,05,1171916.0,1917202.0,2001,08/17/2015 03:03:40 PM,41.928258582,-87.643685402,"(41.928258582, -87.643685402)"
1568652,G330576,06/06/2001 06:00:00 PM,075XX S MICHIGAN AV,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,623,6,,,05,1178500.0,1855139.0,2001,08/17/2015 03:03:40 PM,41.757805453,-87.621382346,"(41.757805453, -87.621382346)"
1514952,G260648,05/06/2001 06:59:00 PM,068XX S LAFLIN ST,0460,BATTERY,SIMPLE,SIDEWALK,False,True,725,7,,,08B,1167475.0,1859340.0,2001,08/17/2015 03:03:40 PM,41.769576827,-87.661667399,"(41.769576827, -87.661667399)"
1520609,G265238,05/08/2001 05:40:00 PM,029XX W NORTH AV,0460,BATTERY,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,False,1421,14,,,08B,1156721.0,1910540.0,2001,08/17/2015 03:03:40 PM,41.910299324,-87.699702468,"(41.910299324, -87.699702468)"
1611940,G384988,07/02/2001 09:40:00 AM,052XX W JACKSON BV,0820,THEFT,$500 AND UNDER,GAS STATION,False,True,1522,15,,,06,1141736.0,1898134.0,2001,09/07/2021 03:41:02 PM,41.876546354,-87.755059287,"(41.876546354, -87.755059287)"
1486617,G222663,04/19/2001 02:15:00 PM,046XX S WINCHESTER AV,0560,ASSAULT,SIMPLE,STREET,False,False,914,9,,,08A,1164180.0,1873684.0,2001,08/17/2015 03:03:40 PM,41.809008561,-87.673341802,"(41.809008561, -87.673341802)"
1655499,G441272,07/27/2001 04:05:00 AM,017XX W 95 PL,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,False,False,2213,22,,,07,1166058.0,1841400.0,2001,08/17/2015 03:03:40 PM,41.72037712,-87.667370433,"(41.72037712, -87.667370433)"
1521718,G260453,05/06/2001 05:19:42 PM,009XX N ORLEANS ST,2027,NARCOTICS,POSS: CRACK,ALLEY,True,False,1823,18,,,18,1173785.0,1906665.0,2001,08/17/2015 03:03:40 PM,41.899303107,-87.637131861,"(41.899303107, -87.637131861)"
1506161,G250043,05/01/2001 09:25:00 PM,021XX N CICERO AV,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,False,False,2522,25,,,04B,1144091.0,1913549.0,2001,08/17/2015 03:03:40 PM,41.91880299,-87.746024925,"(41.91880299, -87.746024925)"
1567795,G327234,06/06/2001 01:50:00 AM,130XX S KING DR,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,533,5,,,14,,,2001,08/17/2015 03:03:40 PM,,,
1485068,G214484,04/15/2001 11:15:00 AM,119XX S EMERALD AV,2027,NARCOTICS,POSS: CRACK,STREET,True,False,524,5,,,18,1173508.0,1825774.0,2001,08/17/2015 03:03:40 PM,41.677335622,-87.64054334,"(41.677335622, -87.64054334)"
1613618,G387064,07/03/2001 07:37:16 AM,107XX S PRAIRIE AV,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,513,5,,,08A,1179787.0,1833500.0,2001,08/17/2015 03:03:40 PM,41.698396034,-87.617325345,"(41.698396034, -87.617325345)"
1636152,G414276,07/14/2001 12:00:00 AM,004XX E OHIO ST,0810,THEFT,OVER $500,STREET,False,False,1834,18,,,06,1179431.0,1904251.0,2001,08/17/2015 03:03:40 PM,41.892551388,-87.616468556,"(41.892551388, -87.616468556)"
1537209,G279121,04/22/2001 03:30:00 PM,100XX W OHARE ST,0810,THEFT,OVER $500,AIRPORT/AIRCRAFT,True,False,1651,16,,76.0,06,1100635.0,1934208.0,2001,01/23/2019 04:13:37 PM,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
1591520,G357644,06/18/2001 09:30:00 AM,021XX W ROSEMONT AV,0460,BATTERY,SIMPLE,RESIDENCE,False,False,2413,24,,,08B,1160607.0,1941841.0,2001,08/17/2015 03:03:40 PM,41.99611132,-87.684556317,"(41.99611132, -87.684556317)"
1685010,G467734,08/07/2001 06:20:00 PM,016XX W HOWARD ST,2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,SIDEWALK,True,False,2422,24,,,26,1164128.0,1950305.0,2001,08/17/2015 03:03:40 PM,42.019262782,-87.671363444,"(42.019262782, -87.671363444)"
1713466,G510369,08/26/2001 06:56:00 PM,062XX S MAPLEWOOD AV,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,SIDEWALK,True,False,825,8,,,22,1160493.0,1862829.0,2001,08/17/2015 03:03:40 PM,41.77929791,-87.687164312,"(41.77929791, -87.687164312)"
1782520,G604267,10/08/2001 01:55:00 PM,082XX S SOUTH SHORE DR,0810,THEFT,OVER $500,STREET,False,False,424,4,,,06,1198625.0,1850800.0,2001,08/17/2015 03:03:40 PM,41.745418231,-87.547773216,"(41.745418231, -87.547773216)"
1831113,G665076,11/04/2001 07:40:00 PM,051XX S WESTERN AV,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,911,9,,,24,1161345.0,1870773.0,2001,08/17/2015 03:03:40 PM,41.801079686,-87.683820749,"(41.801079686, -87.683820749)"
1683412,G472403,08/09/2001 06:50:00 PM,070XX S SANGAMON ST,0460,BATTERY,SIMPLE,STREET,False,False,733,7,,,08B,1171144.0,1858384.0,2001,08/17/2015 03:03:40 PM,41.766874032,-87.648246414,"(41.766874032, -87.648246414)"
1684695,G253813,05/03/2001 04:09:47 PM,038XX W CHICAGO AV,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TAVERN/LIQUOR STORE,True,False,1112,11,,,15,1150670.0,1905028.0,2001,08/17/2015 03:03:40 PM,41.895294365,-87.722075913,"(41.895294365, -87.722075913)"
1738847,G540756,09/09/2001 12:10:00 PM,059XX S CAMPBELL AV,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,824,8,,,18,1160771.0,1864854.0,2001,08/17/2015 03:03:40 PM,41.784849051,-87.686089248,"(41.784849051, -87.686089248)"
1708938,G511345,08/24/2001 05:00:00 PM,049XX S DR MARTN LUTHR KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,224,2,,,14,1179651.0,1872480.0,2001,08/17/2015 03:03:40 PM,41.805364641,-87.616634399,"(41.805364641, -87.616634399)"
1770710,G588653,10/01/2001 03:00:00 PM,068XX S KEELER AV,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,833,8,,,05,1149592.0,1858792.0,2001,08/17/2015 03:03:40 PM,41.768437555,-87.727233303,"(41.768437555, -87.727233303)"
1672888,G465144,08/05/2001 05:00:00 PM,020XX N BISSELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1812,18,,,07,1169593.0,1913727.0,2001,08/17/2015 03:03:40 PM,41.91877396,-87.652322947,"(41.91877396, -87.652322947)"
1705640,G503951,08/23/2001 07:30:00 AM,082XX W IRVING PARK RD,0460,BATTERY,SIMPLE,RESIDENCE,False,True,1614,16,,,08B,1120162.0,1925577.0,2001,08/17/2015 03:03:40 PM,41.952225473,-87.833686873,"(41.952225473, -87.833686873)"
1671517,G461373,08/05/2001 12:02:00 AM,012XX N PARKSIDE AV,1020,ARSON,BY FIRE,APARTMENT,False,False,2531,25,,,09,1138414.0,1907547.0,2001,08/17/2015 03:03:40 PM,41.902437592,-87.767028686,"(41.902437592, -87.767028686)"
1743644,G549239,09/13/2001 10:00:00 AM,068XX S CALUMET AV,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,322,3,,,07,1179692.0,1859970.0,2001,08/17/2015 03:03:40 PM,41.771035077,-87.616866371,"(41.771035077, -87.616866371)"
1716043,G516832,08/29/2001 03:00:00 PM,023XX E 75 ST,0560,ASSAULT,SIMPLE,DAY CARE CENTER,False,False,334,3,,,08A,1193211.0,1855731.0,2001,08/17/2015 03:03:40 PM,41.759083214,-87.567449821,"(41.759083214, -87.567449821)"
1752393,G564061,08/29/2001 09:00:00 PM,063XX N MILWAUKEE AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,1611,16,,,14,1132702.0,1941768.0,2001,08/17/2015 03:03:40 PM,41.996445261,-87.787209204,"(41.996445261, -87.787209204)"
1693601,G488669,08/16/2001 08:40:00 PM,037XX N WHIPPLE ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,VEHICLE NON-COMMERCIAL,False,False,1733,17,,,15,1155340.0,1924928.0,2001,08/17/2015 03:03:40 PM,41.949808977,-87.704388019,"(41.949808977, -87.704388019)"
1742894,G552246,09/14/2001 03:30:00 PM,002XX N STATE ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,122,1,,,06,1176280.0,1902039.0,2001,08/17/2015 03:03:40 PM,41.8865532,-87.628107527,"(41.8865532, -87.628107527)"
1739493,G548747,09/12/2001 11:00:00 PM,006XX N HOYNE AV,0820,THEFT,$500 AND UNDER,STREET,False,False,1313,12,,,06,1162327.0,1904346.0,2001,08/17/2015 03:03:40 PM,41.893187028,-87.679281678,"(41.893187028, -87.679281678)"
1917360,G778885,12/31/2001 11:29:07 AM,112XX S MICHIGAN AV,0330,ROBBERY,AGGRAVATED,VACANT LOT/LAND,False,False,531,5,,,03,1178769.0,1830077.0,2001,08/17/2015 03:03:40 PM,41.689025997,-87.621156357,"(41.689025997, -87.621156357)"
1914959,G776519,12/29/2001 04:00:00 PM,100XX S WENTWORTH AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,False,True,511,5,,,26,1176670.0,1838460.0,2001,09/07/2021 03:41:02 PM,41.712077518,-87.628589565,"(41.712077518, -87.628589565)"
1935307,HH115295,01/08/2002 06:00:00 PM,051XX S JUSTINE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,932,9,,,14,1166875.0,1870654.0,2002,02/28/2018 03:56:25 PM,41.800636678,-87.663543671,"(41.800636678, -87.663543671)"
